id,city,riqi,temperature_h,temperature_l,weather,wind_direction,E,S,W,N,wind_power,min_wind_power,max_wind_power
254,三亚,2016/3/10,29,19,多云~雷阵雨,东北风,1,0,0,1,3-4级,3,4
255,三亚,2016/3/11,22,19,多云,东北风,1,0,0,1,3-4级,3,4
256,三亚,2016/3/12,26,21,多云,东南风,1,1,0,0,3-4级,3,4
257,三亚,2016/3/13,27,20,多云,东南风,1,1,0,0,3-4级,3,4
258,三亚,2016/3/14,28,22,多云,东北风,1,0,0,1,3-4级,3,4
259,三亚,2016/3/15,25,20,多云,东北风,1,0,0,1,3-4级,3,4
260,三亚,2016/3/16,27,22,多云,东南风,1,1,0,0,3-4级,3,4
261,三亚,2016/3/17,30,23,多云,东南风,1,1,0,0,3-4级,3,4
262,三亚,2016/3/18,31,24,多云,东南风,1,1,0,0,3-4级,3,4
263,三亚,2016/3/19,30,24,多云,东南风,1,1,0,0,3-4级,3,4
264,三亚,2016/3/20,31,25,多云,东北风,1,0,0,1,3-4级,3,4
265,三亚,2016/3/21,31,25,多云,东北风,1,0,0,1,3-4级,3,4
266,三亚,2016/3/22,31,25,多云,东北风,1,0,0,1,3-4级,3,4
267,三亚,2016/3/23,31,24,多云,东南风,1,1,0,0,3-4级,3,4
268,三亚,2016/3/24,28,21,晴~阴,东北风,1,0,0,1,3-4级,3,4
269,三亚,2016/3/25,24,18,多云,东南风,1,1,0,0,3-4级,3,4
270,三亚,2016/3/26,25,18,多云,东北风,1,0,0,1,3-4级,3,4
271,三亚,2016/3/27,25,19,多云,东北风,1,0,0,1,3-4级,3,4
272,三亚,2016/3/28,26,20,多云,东北风,1,0,0,1,3-4级,3,4
273,三亚,2016/3/29,28,21,多云,东北风,1,0,0,1,3-4级,3,4
274,三亚,2016/3/30,29,21,多云,东北风,1,0,0,1,3-4级,3,4
275,三亚,2016/3/31,30,22,多云,东南风,1,1,0,0,3-4级,3,4
276,三亚,2016/4/1,31,23,多云,东北风,1,0,0,1,3-4级,3,4
277,三亚,2016/4/2,31,24,多云,东北风,1,0,0,1,3-4级,3,4
278,三亚,2016/4/3,31,25,多云,东南风,1,1,0,0,3-4级,3,4
279,三亚,2016/4/4,31,25,多云,东北风,1,0,0,1,3-4级,3,4
280,三亚,2016/4/5,32,25,多云,东南风,1,1,0,0,3-4级,3,4
281,三亚,2016/4/6,32,25,多云,东南风,1,1,0,0,3-4级,3,4
282,三亚,2016/4/7,32,25,多云,东北风,1,0,0,1,3-4级,3,4
283,三亚,2016/4/8,32,25,多云,东北风,1,0,0,1,3-4级,3,4
284,三亚,2016/4/9,31,25,多云,东南风,1,1,0,0,3-4级,3,4
285,三亚,2016/4/10,31,26,多云,东南风,1,1,0,0,3-4级,3,4
286,三亚,2016/4/11,32,25,多云,东北风,1,0,0,1,3-4级,3,4
287,三亚,2016/4/12,32,27,多云,东南风,1,1,0,0,3-4级,3,4
288,三亚,2016/4/13,31,26,多云,东南风,1,1,0,0,3-4级,3,4
289,三亚,2016/4/14,32,27,多云,东南风,1,1,0,0,3-4级,3,4
290,三亚,2016/4/15,33,26,多云,东南风,1,1,0,0,3-4级,3,4
291,三亚,2016/4/16,32,26,多云,东南风,1,1,0,0,3-4级,3,4
292,三亚,2016/4/17,32,25,多云~雷阵雨,东南风,1,1,0,0,3-4级,3,4
293,三亚,2016/4/18,33,26,多云,东北风,1,0,0,1,3-4级,3,4
294,三亚,2016/4/19,32,26,多云,东北风,1,0,0,1,3-4级,3,4
295,三亚,2016/4/20,32,26,多云,东北风,1,0,0,1,3-4级,3,4
296,三亚,2016/4/21,32,26,多云,东北风,1,0,0,1,3-4级,3,4
297,三亚,2016/4/22,32,26,多云,东北风,1,0,0,1,3-4级,3,4
298,三亚,2016/4/23,32,24,多云,东南风,1,1,0,0,3-4级,3,4
299,三亚,2016/4/24,32,25,多云,东风,1,0,0,0,3-4级,3,4
300,三亚,2016/4/25,32,26,多云,西南风,0,1,1,0,3-4级,3,4
301,三亚,2016/4/26,32,26,多云,东南风,1,1,0,0,3-4级,3,4
302,三亚,2016/4/27,32,25,多云~雷阵雨,东北风,1,0,0,1,3-4级,3,4
303,三亚,2016/4/28,31,25,雷阵雨~多云,东北风,1,0,0,1,3-4级,3,4
304,三亚,2016/4/29,30,26,雷阵雨~多云,东南风,1,1,0,0,3-4级,3,4
305,三亚,2016/4/30,32,25,多云,东南风,1,1,0,0,3-4级,3,4
306,三亚,2016/5/1,32,26,多云,东南风,1,1,0,0,3-4级,3,4
307,三亚,2016/5/2,32,26,多云,东北风,1,0,0,1,3-4级,3,4
308,三亚,2016/5/3,32,27,多云,东风,1,0,0,0,3-4级,3,4
309,三亚,2016/5/4,33,27,多云,东南风,1,1,0,0,3-4级,3,4
310,三亚,2016/5/5,33,28,多云,东南风,1,1,0,0,3-4级,3,4
311,三亚,2016/5/6,33,28,多云,东南风,1,1,0,0,3-4级,3,4
312,三亚,2016/5/7,33,27,多云,东南风,1,1,0,0,3-4级,3,4
313,三亚,2016/5/8,33,27,多云,东南风,1,1,0,0,3-4级,3,4
314,三亚,2016/5/9,33,27,多云,东南风,1,1,0,0,3-4级,3,4
315,三亚,2016/5/10,33,27,多云,东北风,1,0,0,1,3-4级,3,4
316,三亚,2016/5/11,32,27,多云,东北风,1,0,0,1,3-4级,3,4
317,三亚,2016/5/12,32,27,多云,东南风,1,1,0,0,3-4级,3,4
318,三亚,2016/5/13,31,27,雷阵雨~多云,东北风,1,0,0,1,3-4级,3,4
319,三亚,2016/5/14,32,27,多云,东北风,1,0,0,1,3-4级,3,4
320,三亚,2016/5/15,33,26,多云,东北风,1,0,0,1,3-4级,3,4
321,三亚,2016/5/16,32,25,多云,东风,1,0,0,0,3-4级,3,4
322,三亚,2016/5/17,31,25,多云,东北风,1,0,0,1,3-4级,3,4
323,三亚,2016/5/18,33,26,多云,东南风,1,1,0,0,3-4级,3,4
324,三亚,2016/5/19,33,27,多云,东南风,1,1,0,0,3-4级,3,4
325,三亚,2016/5/20,32,27,多云,东南风,1,1,0,0,3-4级,3,4
326,三亚,2016/5/21,32,26,雷阵雨,东北风,1,0,0,1,3-4级,3,4
327,三亚,2016/5/22,33,27,多云,东北风,1,0,0,1,3-4级,3,4
